id,name,code
226,Ahmedabad,4
227,Chennai,8
228,Lucknow,24
229,Ghaziabad,13
230,Srinagar,44
231,Vadodara,48
232,Vasai-Virar,50
233,Ahmedabad,4
234,Kalyan,19
235,Pune,39
236,Kolkata,23
237,Srinagar,44
238,Kanpur,20
239,Patna,38
240,Thane,46
241,Vasai-Virar,50
242,Ludhiana,25
243,Vasai-Virar,50
244,Surat,45
245,Lucknow,24
246,Mumbai,32
247,Hyderabad,16
248,Varanasi,49
249,Rajkot,40
250,Vadodara,48
251,Hyderabad,16
252,Varanasi,49
253,Agra,3
254,Nagpur,33
255,Thane,46
256,Bhopal,7
257,Kalyan,19
258,Rajkot,40
259,Agra,3
260,Kolkata,23
261,Visakhapatnam,51
262,Indore,17
263,Mumbai,32
264,Kalyan,19
265,Rajkot,40
266,Srinagar,44
267,Ahmedabad,4
268,Hyderabad,16
269,Vasai-Virar,50
270,Srinagar,44
271,Meerut,29
272,Faridabad,11
273,Surat,45
274,Ghaziabad,13
275,Vadodara,48
276,Visakhapatnam,51
277,Ludhiana,25
278,Chennai,8
279,Ahmedabad,4
280,Mumbai,32
281,Vadodara,48
282,Indore,17
283,Delhi,10
284,Agra,3
285,Vadodara,48
286,Varanasi,49
287,Vasai-Virar,50
288,Pune,39
289,Kolkata,23
290,Varanasi,49
291,Agra,3
292,Srinagar,44
293,Nashik,37
294,Visakhapatnam,51
295,Vasai-Virar,50
296,Varanasi,49
297,Surat,45
298,Kolkata,23
299,Bangalore,5
300,Thane,46
301,Thane,46
302,Varanasi,49
303,Ghaziabad,13
304,Kolkata,23
305,Meerut,29
306,Lucknow,24
307,Meerut,29
308,Chennai,8
309,Lucknow,24
310,Pune,39
311,Thane,46
312,Ghaziabad,13
313,Ludhiana,25
314,Vasai-Virar,50
315,Srinagar,44
316,Rajkot,40
317,Jaipur,18
318,Varanasi,49
319,Srinagar,44
320,Surat,45
321,Rajkot,40
322,Ghaziabad,13
323,Lucknow,24
324,Ahmedabad,4
325,Vasai-Virar,50
326,Pune,39
327,Mumbai,32
328,Ludhiana,25
329,Delhi,10
330,Rajkot,40
331,Delhi,10
332,Ludhiana,25
333,Bangalore,5
334,Thane,46
335,Hyderabad,16
336,Kalyan,19
337,Bangalore,5
338,Bangalore,5
339,Kalyan,19
340,Ghaziabad,13
341,Mumbai,32
342,Mumbai,32
343,Lucknow,24
344,Thane,46
345,Indore,17
346,Visakhapatnam,51
347,Bhopal,7
348,Ludhiana,25
349,Lucknow,24
350,Bhopal,7
351,Rajkot,40
352,Kolkata,23
353,Vasai-Virar,50
354,Vadodara,48
355,Bhopal,7
356,Jaipur,18
357,Mumbai,32
358,Faridabad,11
359,Rajkot,40
360,Lucknow,24
361,Kanpur,20
362,Indore,17
363,Ludhiana,25
364,Thane,46
365,Hyderabad,16
366,Chennai,8
367,Jaipur,18
368,Jaipur,18
369,Indore,17
370,Vasai-Virar,50
371,Mumbai,32
372,Agra,3
373,Surat,45
374,Varanasi,49
375,Kanpur,20
376,Indore,17
377,Ahmedabad,4
378,Bhopal,7
379,Kalyan,19
380,Agra,3
381,Rajkot,40
382,Hyderabad,16
383,Bhopal,7
384,Lucknow,24
385,Thane,46
386,Lucknow,24
387,Jaipur,18
388,Nashik,37
389,Bhopal,7
390,Agra,3
391,Meerut,29
392,Vadodara,48
393,Lucknow,24
394,Kolkata,23
395,Patna,38
396,Ludhiana,25
397,Patna,38
398,Rajkot,40
399,Kolkata,23
400,Bhopal,7
401,Indore,17
402,Meerut,29
403,Faridabad,11
404,Meerut,29
405,Srinagar,44
406,Srinagar,44
407,Mumbai,32
408,Kolkata,23
409,Srinagar,44
410,Faridabad,11
411,Ludhiana,25
412,Vasai-Virar,50
413,Chennai,8
414,Delhi,10
415,Bhopal,7
416,Varanasi,49
417,Patna,38
418,Meerut,29
419,Srinagar,44
420,Visakhapatnam,51
421,Vasai-Virar,50
422,Vadodara,48
423,Indore,17
424,Mumbai,32
425,Lucknow,24
426,Ahmedabad,4
427,Lucknow,24
428,Delhi,10
429,Nagpur,33
430,Kalyan,19
431,Srinagar,44
432,Chennai,8
433,Srinagar,44
434,Varanasi,49
435,Srinagar,44
436,Kolkata,23
437,Kanpur,20
438,Kanpur,20
439,Srinagar,44
440,Chennai,8
441,Srinagar,44
442,Hyderabad,16
443,Srinagar,44
444,Lucknow,24
445,Srinagar,44
446,Jaipur,18
447,Ghaziabad,13
448,Visakhapatnam,51
449,Nagpur,33
450,Kalyan,19
451,Rajkot,40
452,Faridabad,11
453,Lucknow,24
454,Kolkata,23
455,Pune,39
456,Mumbai,32
457,Nagpur,33
458,Faridabad,11
459,Bangalore,5
460,Ghaziabad,13
461,Kalyan,19
462,Bhopal,7
463,Delhi,10
464,Ghaziabad,13
465,Surat,45
466,Faridabad,11
467,Thane,46
468,Mumbai,32
469,Thane,46
470,Meerut,29
471,Kolkata,23
472,Hyderabad,16
473,Bangalore,5
474,Surat,45
475,Chennai,8
476,Vadodara,48
477,Ludhiana,25
478,Mumbai,32
479,Hyderabad,16
480,Agra,3
481,Jaipur,18
482,Vadodara,48
483,Srinagar,44
484,Ludhiana,25
485,Ghaziabad,13
486,Surat,45
487,Bhopal,7
488,Varanasi,49
489,Kalyan,19
490,Visakhapatnam,51
491,Meerut,29
492,Bangalore,5
493,Vasai-Virar,50
494,Ahmedabad,4
495,Kanpur,20
496,Kolkata,23
497,Hyderabad,16
498,Surat,45
499,Mumbai,32
500,Mumbai,32
501,Visakhapatnam,51
502,Lucknow,24
503,Lucknow,24
504,Kalyan,19
505,Bangalore,5
506,Thane,46
507,Indore,17
508,Kalyan,19
509,Thane,46
510,Visakhapatnam,51
511,Patna,38
512,Chennai,8
513,Rajkot,40
514,Vasai-Virar,50
515,Ghaziabad,13
516,Jaipur,18
517,Jaipur,18
518,Thane,46
519,Agra,3
520,Lucknow,24
521,Jaipur,18
522,Vasai-Virar,50
523,Vasai-Virar,50
524,Kanpur,20
525,Ghaziabad,13
526,Ludhiana,25
527,Hyderabad,16
528,Kolkata,23
529,Visakhapatnam,51
530,Faridabad,11
531,Hyderabad,16
532,Chennai,8
533,Jaipur,18
534,Vasai-Virar,50
535,Ghaziabad,13
536,Nashik,37
537,Varanasi,49
538,Mumbai,32
539,Bhopal,7
540,Rajkot,40
541,Ahmedabad,4
542,Ludhiana,25
543,Ghaziabad,13
544,Vasai-Virar,50
545,Indore,17
546,Visakhapatnam,51
547,Surat,45
548,Thane,46
549,Chennai,8
550,Hyderabad,16
551,Ghaziabad,13
552,Ghaziabad,13
553,Kanpur,20
554,Vasai-Virar,50
555,Bangalore,5
556,Bhopal,7
557,Mumbai,32
558,Kalyan,19
559,Ludhiana,25
560,Delhi,10
561,Nashik,37
562,Rajkot,40
563,Meerut,29
564,Kalyan,19
565,Faridabad,11
566,Agra,3
567,Kalyan,19
568,Kalyan,19
569,Delhi,10
570,Vadodara,48
571,Kalyan,19
572,Agra,3
573,Ludhiana,25
574,Kalyan,19
575,Bhopal,7
576,Thane,46
577,Lucknow,24
578,Ludhiana,25
579,Meerut,29
580,Visakhapatnam,51
581,Vasai-Virar,50
582,Srinagar,44
583,Lucknow,24
584,Bhopal,7
585,Kanpur,20
586,Kalyan,19
587,Kolkata,23
588,Lucknow,24
589,Hyderabad,16
590,Nagpur,33
591,Pune,39
592,Jaipur,18
593,Ghaziabad,13
594,Kalyan,19
595,Kanpur,20
596,Bangalore,5
597,Lucknow,24
598,Srinagar,44
599,Pune,39
600,Jaipur,18
601,Thane,46
602,Lucknow,24
603,Hyderabad,16
604,Nashik,37
605,Thane,46
606,Bhopal,7
607,Vasai-Virar,50
608,Thane,46
609,Varanasi,49
610,Visakhapatnam,51
611,Kalyan,19
612,Lucknow,24
613,Chennai,8
614,Ahmedabad,4
615,Nashik,37
616,Surat,45
617,Vasai-Virar,50
618,Vasai-Virar,50
619,Thane,46
620,Surat,45
621,Jaipur,18
622,Delhi,10
623,Pune,39
624,Varanasi,49
625,Delhi,10
626,Bhopal,7
627,Visakhapatnam,51
628,Surat,45
629,Meerut,29
630,Mumbai,32
631,Ludhiana,25
632,Surat,45
633,Lucknow,24
634,Kolkata,23
635,Kalyan,19
636,Vadodara,48
637,Bangalore,5
638,Vadodara,48
639,Nashik,37
640,Lucknow,24
641,Agra,3
642,Kanpur,20
643,Delhi,10
644,Delhi,10
645,Srinagar,44
646,Hyderabad,16
647,Agra,3
648,Lucknow,24
649,Thane,46
650,Vasai-Virar,50
651,Visakhapatnam,51
652,Thane,46
653,Hyderabad,16
654,Hyderabad,16
655,Hyderabad,16
656,Kalyan,19
657,Surat,45
658,Ahmedabad,4
659,Meerut,29
660,Lucknow,24
661,Kolkata,23
662,Nashik,37
663,Hyderabad,16
664,Ahmedabad,4
665,Kolkata,23
666,Nashik,37
667,Mumbai,32
668,Kolkata,23
669,Nashik,37
670,Kalyan,19
671,Srinagar,44
672,Kolkata,23
673,Jaipur,18
674,Vasai-Virar,50
675,Ghaziabad,13
676,Ahmedabad,4
677,Surat,45
678,Kolkata,23
679,Nagpur,33
680,Patna,38
681,Surat,45
682,Visakhapatnam,51
683,Patna,38
684,Ahmedabad,4
685,Agra,3
686,Meerut,29
687,Mumbai,32
688,Meerut,29
689,Patna,38
690,Chennai,8
691,Vadodara,48
692,Ludhiana,25
693,Mumbai,32
694,Jaipur,18
695,Kalyan,19
696,Nashik,37
697,Bhopal,7
698,Ghaziabad,13
699,Thane,46
700,Thane,46
701,Srinagar,44
702,Srinagar,44
703,Vadodara,48
704,Bhopal,7
705,Chennai,8
706,Surat,45
707,Srinagar,44
708,Agra,3
709,Mumbai,32
710,Nagpur,33
711,Ahmedabad,4
712,Meerut,29
713,Kalyan,19
714,Thane,46
715,Pune,39
716,Srinagar,44
717,Ahmedabad,4
718,Mumbai,32
719,Vasai-Virar,50
720,Surat,45
721,Faridabad,11
722,Indore,17
723,Varanasi,49
724,Patna,38
725,Vasai-Virar,50
726,Patna,38
727,Thane,46
728,Chennai,8
729,Kalyan,19
730,Indore,17
731,Chennai,8
732,Agra,3
733,Thane,46
734,Lucknow,24
735,Agra,3
736,Bangalore,5
737,Patna,38
738,Rajkot,40
739,Indore,17
740,Patna,38
741,Lucknow,24
742,Varanasi,49
743,Hyderabad,16
744,Hyderabad,16
745,Nagpur,33
746,Ludhiana,25
747,Vasai-Virar,50
748,Hyderabad,16
749,Pune,39
750,Vasai-Virar,50
751,Jaipur,18
752,Pune,39
753,Lucknow,24
754,Kolkata,23
755,Srinagar,44
756,Kolkata,23
757,Kolkata,23
758,Agra,3
759,Bhopal,7
760,Surat,45
761,Hyderabad,16
762,Pune,39
763,Ghaziabad,13
764,Ahmedabad,4
765,Meerut,29
766,Thane,46
767,Ahmedabad,4
768,Bhopal,7
769,Vadodara,48
770,Ahmedabad,4
771,Jaipur,18
772,Meerut,29
773,Patna,38
774,Vasai-Virar,50
775,Faridabad,11
776,Faridabad,11
777,Meerut,29
778,Kalyan,19
779,Nashik,37
780,Surat,45
781,Lucknow,24
782,Patna,38
783,Srinagar,44
784,Visakhapatnam,51
785,Srinagar,44
786,Agra,3
787,Vasai-Virar,50
788,Rajkot,40
789,Ludhiana,25
790,Meerut,29
791,Hyderabad,16
792,Mumbai,32
793,Ludhiana,25
794,Kanpur,20
795,Kolkata,23
796,Ludhiana,25
797,Kanpur,20
798,Ludhiana,25
799,Pune,39
800,Pune,39
801,Vasai-Virar,50
802,Bangalore,5
803,Hyderabad,16
804,Kolkata,23
805,Bangalore,5
806,Jaipur,18
807,Chennai,8
808,Vasai-Virar,50
809,Surat,45
810,Patna,38
811,Surat,45
812,Varanasi,49
813,Agra,3
814,Thane,46
815,Varanasi,49
816,Nagpur,33
817,Ahmedabad,4
818,Bhopal,7
819,Visakhapatnam,51
820,Nagpur,33
821,Kolkata,23
822,Indore,17
823,Meerut,29
824,Chennai,8
825,Meerut,29
826,Hyderabad,16
827,Meerut,29
828,Ludhiana,25
829,Agra,3
830,Srinagar,44
831,Surat,45
832,Bhopal,7
833,Jaipur,18
834,Mumbai,32
835,Agra,3
836,Lucknow,24
837,Kalyan,19
838,Delhi,10
839,Nagpur,33
840,Lucknow,24
841,Delhi,10
842,Visakhapatnam,51
843,Thane,46
844,Visakhapatnam,51
845,Agra,3
846,Hyderabad,16
847,Varanasi,49
848,Kalyan,19
849,Vadodara,48
850,Nashik,37
851,Hyderabad,16
852,Patna,38
853,Thane,46
854,Visakhapatnam,51
855,Ghaziabad,13
856,Agra,3
857,Ahmedabad,4
858,Visakhapatnam,51
859,Bhopal,7
860,Kolkata,23
861,Kolkata,23
862,Chennai,8
863,Hyderabad,16
864,Jaipur,18
865,Pune,39
866,Kalyan,19
867,Lucknow,24
868,Indore,17
869,Hyderabad,16
870,Patna,38
871,Bangalore,5
872,Patna,38
873,Indore,17
874,Srinagar,44
875,Rajkot,40
876,Kanpur,20
877,Mumbai,32
878,Vadodara,48
879,Indore,17
880,Patna,38
881,Vasai-Virar,50
882,Surat,45
883,Rajkot,40
884,Thane,46
885,Kolkata,23
886,Surat,45
887,Visakhapatnam,51
888,Chennai,8
889,Kolkata,23
890,Indore,17
891,Meerut,29
892,Nagpur,33
893,Srinagar,44
894,Chennai,8
895,Hyderabad,16
896,Bangalore,5
897,Pune,39
898,Visakhapatnam,51
899,Ghaziabad,13
900,Vasai-Virar,50
901,Hyderabad,16
902,Meerut,29
903,Hyderabad,16
904,Chennai,8
905,Rajkot,40
906,Nashik,37
907,Mumbai,32
908,Ahmedabad,4
909,Hyderabad,16
910,Varanasi,49
911,Surat,45
912,Lucknow,24
913,Bhopal,7
914,Kolkata,23
915,Bangalore,5
916,Hyderabad,16
917,Nashik,37
918,Kanpur,20
919,Kanpur,20
920,Patna,38
921,Ludhiana,25
922,Hyderabad,16
923,Vadodara,48
924,Srinagar,44
925,Ahmedabad,4
926,Ludhiana,25
927,Ludhiana,25
928,Nashik,37
929,Bhopal,7
930,Agra,3
931,Ghaziabad,13
932,Bangalore,5
933,Hyderabad,16
934,Patna,38
935,Ahmedabad,4
936,Ghaziabad,13
937,Kolkata,23
938,Ludhiana,25
939,Chennai,8
940,Bangalore,5
941,Kanpur,20
942,Ahmedabad,4
943,Srinagar,44
944,Kolkata,23
945,Bhopal,7
946,Vasai-Virar,50
947,Vadodara,48
948,Vasai-Virar,50
949,Pune,39
950,Vasai-Virar,50
951,Kalyan,19
952,Ghaziabad,13
953,Jaipur,18
954,Bhopal,7
955,Jaipur,18
956,Mumbai,32
957,Varanasi,49
958,Thane,46
959,Ludhiana,25
960,Chennai,8
961,Surat,45
962,Kolkata,23
963,Agra,3
964,Varanasi,49
965,Lucknow,24
966,Agra,3
967,Hyderabad,16
968,Chennai,8
969,Kanpur,20
970,Vasai-Virar,50
971,Thane,46
972,Indore,17
973,Hyderabad,16
974,Srinagar,44
975,Patna,38
976,Thane,46
977,Bhopal,7
978,Surat,45
979,Bangalore,5
980,Agra,3
981,Kolkata,23
982,Vasai-Virar,50
983,Kalyan,19
984,Kanpur,20
985,Ghaziabad,13
986,Vasai-Virar,50
987,Thane,46
988,Kolkata,23
989,Ghaziabad,13
990,Nashik,37
991,Hyderabad,16
992,Agra,3
993,Bhopal,7
994,Srinagar,44
995,Srinagar,44
996,Kalyan,19
997,Surat,45
998,Delhi,10
999,Delhi,10
1000,Visakhapatnam,51
1001,Ahmedabad,4
1002,Srinagar,44
1003,Rajkot,40
1004,Ghaziabad,13
1005,Delhi,10
1006,Nagpur,33
1007,Hyderabad,16
1008,Kalyan,19
1009,Lucknow,24
1010,Vasai-Virar,50
1011,Indore,17
1012,Jaipur,18
1013,Kanpur,20
1014,Agra,3
1015,Mumbai,32
1016,Kanpur,20
1017,Ghaziabad,13
1018,Surat,45
1019,Ghaziabad,13
1020,Agra,3
1021,Nashik,37
1022,Nashik,37
1023,Meerut,29
1024,Nagpur,33
1025,Visakhapatnam,51
1026,Vasai-Virar,50
1027,Delhi,10
1028,Ghaziabad,13
1029,Ahmedabad,4
1030,Indore,17
1031,Ghaziabad,13
1032,Bangalore,5
1033,Kanpur,20
1034,Hyderabad,16
1035,Srinagar,44
1036,Bangalore,5
1037,Bangalore,5
1038,Surat,45
1039,Thane,46
1040,Vasai-Virar,50
1041,Kolkata,23
1042,Varanasi,49
1043,Bangalore,5
1044,Rajkot,40
1045,Vadodara,48
1046,Ghaziabad,13
1047,Hyderabad,16
1048,Agra,3
1049,Pune,39
1050,Nagpur,33
1051,Bhopal,7
1052,Visakhapatnam,51
1053,Kolkata,23
1054,Vasai-Virar,50
1055,Mumbai,32
1056,Vasai-Virar,50
1057,Vasai-Virar,50
1058,Delhi,10
1059,Hyderabad,16
1060,Nashik,37
1061,Kalyan,19
1062,Visakhapatnam,51
1063,Visakhapatnam,51
1064,Vasai-Virar,50
1065,Srinagar,44
1066,Patna,38
1067,Visakhapatnam,51
1068,Chennai,8
1069,Vasai-Virar,50
1070,Hyderabad,16
1071,Hyderabad,16
1072,Bhopal,7
1073,Kalyan,19
1074,Kolkata,23
1075,Srinagar,44
1076,Rajkot,40
1077,Nashik,37
1078,Lucknow,24
1079,Bhopal,7
1080,Agra,3
1081,Srinagar,44
1082,Rajkot,40
1083,Rajkot,40
1084,Srinagar,44
1085,Visakhapatnam,51
1086,Hyderabad,16
1087,Surat,45
1088,Ludhiana,25
1089,Ludhiana,25
1090,Bangalore,5
1091,Ludhiana,25
1092,Vasai-Virar,50
1093,Ghaziabad,13
1094,Ahmedabad,4
1095,Patna,38
1096,Surat,45
1097,Pune,39
1098,Jaipur,18
1099,Ludhiana,25
1100,Vasai-Virar,50
1101,Mumbai,32
1102,Kalyan,19
1103,Kalyan,19
1104,Bangalore,5
1105,Agra,3
1106,Jaipur,18
1107,Nagpur,33
1108,Ludhiana,25
1109,Thane,46
1110,Bhopal,7
1111,Varanasi,49
1112,Pune,39
1113,Varanasi,49
1114,Vasai-Virar,50
1115,Thane,46
1116,Bhopal,7
1117,Lucknow,24
1118,Mumbai,32
1119,Jaipur,18
1120,Thane,46
1121,Ahmedabad,4
1122,Patna,38
1123,Ahmedabad,4
1124,Varanasi,49
1125,Nashik,37
1126,Srinagar,44
1127,Lucknow,24
1128,Ahmedabad,4
1129,Hyderabad,16
1130,Srinagar,44
1131,Kalyan,19
1132,Surat,45
1133,Nashik,37
1134,Lucknow,24
1135,Visakhapatnam,51
1136,Ghaziabad,13
1137,Surat,45
1138,Jaipur,18
1139,Hyderabad,16
1140,Ahmedabad,4
1141,Ludhiana,25
1142,Nagpur,33
1143,Pune,39
1144,Vasai-Virar,50
1145,Lucknow,24
1146,Ahmedabad,4
1147,Meerut,29
1148,Ghaziabad,13
1149,Jaipur,18
1150,Indore,17
1151,Patna,38
1152,Surat,45
1153,Thane,46
1154,Delhi,10
1155,Ludhiana,25
1156,Ahmedabad,4
1157,Surat,45
1158,Nagpur,33
1159,Vasai-Virar,50
1160,Indore,17
1161,Chennai,8
1162,Ghaziabad,13
1163,Kalyan,19
1164,Rajkot,40
1165,Bhopal,7
1166,Agra,3
1167,Agra,3
1168,Rajkot,40
1169,Mumbai,32
1170,Srinagar,44
1171,Indore,17
1172,Agra,3
1173,Rajkot,40
1174,Srinagar,44
1175,Indore,17
1176,Vadodara,48
1177,Jaipur,18
1178,Lucknow,24
1179,Mumbai,32
1180,Rajkot,40
1181,Mumbai,32
1182,Vasai-Virar,50
1183,Rajkot,40
1184,Srinagar,44
1185,Jaipur,18
1186,Vadodara,48
1187,Srinagar,44
1188,Surat,45
1189,Surat,45
1190,Ludhiana,25
1191,Kalyan,19
1192,Kolkata,23
1193,Srinagar,44
1194,Indore,17
1195,Indore,17
1196,Delhi,10
1197,Kanpur,20
1198,Bhopal,7
1199,Kalyan,19
1200,Surat,45
1201,Lucknow,24
1202,Ahmedabad,4
1203,Visakhapatnam,51
1204,Thane,46
1205,Agra,3
1206,Faridabad,11
1207,Srinagar,44
1208,Agra,3
1209,Ahmedabad,4
1210,Ludhiana,25
1211,Srinagar,44
1212,Delhi,10
1213,Thane,46
1214,Nashik,37
1215,Visakhapatnam,51
1216,Chennai,8
1217,Ghaziabad,13
1218,Thane,46
1219,Agra,3
1220,Bangalore,5
1221,Vasai-Virar,50
1222,Delhi,10
1223,Kolkata,23
1224,Mumbai,32
1225,Bhopal,7
1226,Kalyan,19
1227,Indore,17
1228,Thane,46
1229,Lucknow,24
1230,Visakhapatnam,51
1231,Vadodara,48
1232,Bangalore,5
1233,Bhopal,7
1234,Bangalore,5
1235,Kanpur,20
1236,Varanasi,49
1237,Delhi,10
1238,Faridabad,11
1239,Patna,38
1240,Pune,39
1241,Kanpur,20
1242,Rajkot,40
1243,Ghaziabad,13
1244,Vadodara,48
1245,Pune,39
1246,Varanasi,49
1247,Bhopal,7
1248,Visakhapatnam,51
1249,Agra,3
1250,Vadodara,48
1251,Ahmedabad,4
1252,Thane,46
1253,Jaipur,18
1254,Kalyan,19
1255,Lucknow,24
1256,Bangalore,5
1257,Kolkata,23
1258,Visakhapatnam,51
1259,Agra,3
1260,Kanpur,20
1261,Visakhapatnam,51
1262,Nagpur,33
1263,Visakhapatnam,51
1264,Jaipur,18
1265,Nagpur,33
1266,Srinagar,44
1267,Ahmedabad,4
1268,Kalyan,19
1269,Hyderabad,16
1270,Ludhiana,25
1271,Ahmedabad,4
1272,Patna,38
1273,Varanasi,49
1274,Thane,46
1275,Srinagar,44
1276,Ghaziabad,13
1277,Agra,3
1278,Ludhiana,25
1279,Pune,39
1280,Ahmedabad,4
1281,Indore,17
1282,Srinagar,44
1283,Vasai-Virar,50
1284,Thane,46
1285,Hyderabad,16
1286,Nashik,37
1287,Ghaziabad,13
1288,Meerut,29
1289,Nagpur,33
1290,Kolkata,23
1291,Jaipur,18
1292,Patna,38
1293,Lucknow,24
1294,Ahmedabad,4
1295,Hyderabad,16
1296,Meerut,29
1297,Nagpur,33
1298,Ludhiana,25
1299,Kalyan,19
1300,Vadodara,48
1301,Ludhiana,25
1302,Kalyan,19
1303,Surat,45
1304,Kolkata,23
1305,Ludhiana,25
1306,Varanasi,49
1307,Lucknow,24
1308,Visakhapatnam,51
1309,Jaipur,18
1310,Nagpur,33
1311,Patna,38
1312,Ghaziabad,13
1313,Patna,38
1314,Bangalore,5
1315,Thane,46
1316,Pune,39
1317,Surat,45
1318,Agra,3
1319,Vadodara,48
1320,Srinagar,44
1321,Kalyan,19
1322,Kalyan,19
1323,Kolkata,23
1324,Vasai-Virar,50
1325,Agra,3
1326,Patna,38
1327,Ludhiana,25
1328,Vadodara,48
1329,Srinagar,44
1330,Mumbai,32
1331,Lucknow,24
1332,Kolkata,23
1333,Varanasi,49
1334,Mumbai,32
1335,Visakhapatnam,51
1336,Varanasi,49
1337,Kanpur,20
1338,Ghaziabad,13
1339,Lucknow,24
1340,Kanpur,20
1341,Thane,46
1342,Varanasi,49
1343,Faridabad,11
1344,Surat,45
1345,Vadodara,48
1346,Bhopal,7
1347,Kalyan,19
1348,Rajkot,40
1349,Nagpur,33
1350,Mumbai,32
1351,Rajkot,40
1352,Ludhiana,25
1353,Mumbai,32
1354,Pune,39
1355,Ghaziabad,13
1356,Ghaziabad,13
1357,Lucknow,24
1358,Patna,38
1359,Agra,3
1360,Kalyan,19
1361,Kanpur,20
1362,Ludhiana,25
1363,Kalyan,19
1364,Srinagar,44
